Title,Owner,Sprint,Status,Story Points,Deliverable,Evidence
"Define project pivot, value proposition, and MVP scope","محمدامین","Sprint 0","Done",3,"Scope change record and project idea","docs/scope-change-record.md"
"Document humanitarian and national value","محمدرضا","Sprint 0","Done",2,"Stakeholder/value narrative","docs/stakeholder-register.md"
"Prepare baseline triage-time feature set","محمدامین","Sprint 1","Done",5,"Leakage-controlled feature set","docs/model-card.md"
"Train and evaluate model v5/v6","محمدامین","Sprint 3","Done",8,"Metrics, charts, trained artifact","reports/model/metrics_v6.json"
"Build FastAPI prediction backend","محمدامین","Sprint 2","Done",5,"/health, /model-info, /predict","backend/main.py"
"Design mobile-first Persian UI","محدثه","Sprint 4","Done",5,"Responsive/PWA UI","frontend/index.html"
"Test sparse-input scenarios","محدثه","Sprint 4","Done",3,"Sparse and cardiac demo scenarios","docs/mobile-pwa-completion-note.md"
"Prepare KPI register and burndown","محمدرضا","Sprint 3","Done",4,"KPI and burndown artifacts","docs/kpi-register.md"
"Prepare risk register and mitigation plan","محمدرضا","Sprint 3","Done",3,"Risk register","docs/risk-register.md"
"Prepare official Word deliverables","محدثه","Sprint 4","Done",5,"Final report and evidence package","docs/deliverables/"
"Collect stakeholder feedback from 5 users","محمدرضا","Sprint 5","To Do",5,"Feedback CSV and summarized log","docs/knowledge-base/stakeholder-feedback-log.md"
"Review UI clarity with non-technical testers","محدثه","Sprint 5","To Do",3,"UI review notes","docs/knowledge-base/stakeholder-feedback-log.md"
"Add screenshots of GitHub Issues/board to final package","محدثه","Sprint 5","To Do",2,"Screenshots for final evidence","docs/deliverables/"
"Update final video script with Agile evidence","محمدامین","Sprint 5","To Do",2,"Presentation script revision","docs/video-presentation-script.md"
"Prepare final poster management-project section","محمدرضا","Sprint 5","To Do",3,"Poster text for tooling, burndown, KPI","docs/poster-content.md"
