Task,Epic,Sprint,Owner,Status,Story Points,Estimated Hours,Time Spent Hours,Start Date,Done Date,Evidence,Future Task
"Define project pivot and MVP scope","Project Definition","Sprint 0","محمدامین","Done",3,4,4,"2026-06-01","2026-06-01","docs/scope-change-record.md","No"
"Document humanitarian and national value","Project Definition","Sprint 0","محمدرضا","Done",2,3,3,"2026-06-01","2026-06-03","docs/stakeholder-register.md","No"
"Prepare baseline triage-time feature set","ML Model","Sprint 1","محمدامین","Done",5,6,6,"2026-06-02","2026-06-03","docs/model-card.md","No"
"Train and evaluate model v5/v6","ML Model","Sprint 3","محمدامین","Done",8,9,9,"2026-06-06","2026-06-08","reports/model/metrics_v6.json","No"
"Build FastAPI prediction backend","Backend/API","Sprint 2","محمدامین","Done",5,5,5,"2026-06-04","2026-06-05","backend/main.py","No"
"Design mobile-first Persian UI","Frontend Demo","Sprint 4","محدثه","Done",5,5,5,"2026-06-09","2026-06-10","frontend/index.html","No"
"Add PWA install/offline shell","Frontend Demo","Sprint 4","محمدامین","Done",3,3,3,"2026-06-10","2026-06-10","frontend/manifest.webmanifest","No"
"Prepare KPI register and burndown","Project Control","Sprint 3","محمدرضا","Done",4,4,4,"2026-06-08","2026-06-08","docs/kpi-register.md","No"
"Prepare risk register and mitigation plan","Project Control","Sprint 3","محمدرضا","Done",3,3,3,"2026-06-08","2026-06-08","docs/risk-register.md","No"
"Prepare official Word deliverables","Documentation","Sprint 4","محدثه","Done",5,5,5,"2026-06-10","2026-06-10","docs/deliverables/","No"
"Add Agile evidence package after TA feedback","Project Control","Sprint 5","محمدامین","Done",5,4,4,"2026-06-13","2026-06-13","docs/agile-delivery-evidence.md","No"
"Add server-side stakeholder feedback export","Product Validation","Sprint 5","محمدامین","Done",4,3,3,"2026-06-15","2026-06-15","/feedback/export","No"
"Collect stakeholder feedback from 5 users","Product Validation","Sprint 5","محمدرضا","To Do",5,5,0,"2026-06-15","","docs/knowledge-base/stakeholder-feedback-log.md","Yes"
"Review UI clarity with non-technical testers","QA","Sprint 5","محدثه","To Do",3,3,0,"2026-06-15","","docs/knowledge-base/stakeholder-feedback-log.md","Yes"
"Create real GitHub Project board after login","Work Management","Sprint 5","محمدامین","To Do",2,2,0,"2026-06-15","","scripts/setup_github_work_management.ps1","Yes"
"Create real Notion Knowledge Base after token setup","Knowledge Management","Sprint 5","محدثه","To Do",3,3,0,"2026-06-15","","scripts/setup_notion_knowledge_base.py","Yes"
"Add screenshots of GitHub Project and Notion to final package","Final Delivery","Sprint 5","محدثه","To Do",2,2,0,"2026-06-16","","docs/deliverables/","Yes"
"Update final video script with platform links","Final Delivery","Sprint 5","محمدامین","To Do",2,2,0,"2026-06-16","","docs/video-presentation-script.md","Yes"
