"Date","Stakeholder Type","UI Clarity Score","Output Clarity Score","Disclaimer Clarity Score","Main Feedback","Action Taken","Owner","Status"
"2026-07-12","پرستار تریاژ ناشناس TN-01","","","","خروجی باید به زبان عملیاتی باشد؛ «نیازمند بررسی فوری» از اصطلاحات تخصصی قابل فهم‌تر است.","متن خروجی ساده شد و عبارت‌های مبهم ESI از رابط اصلی حذف شدند.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-02","","","","اگر اکسیژن پایین باشد هشدار باید خیلی واضح دیده شود و اقدام بعدی پیشنهاد شود.","بخش «هشدارهای مهم» و اقدام «تکرار علائم حیاتی/بررسی فوری» حفظ شد.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-03","","","","در ازدحام اورژانس معمولاً همه داده‌ها کامل نیست؛ سیستم باید با چند فیلد هم خروجی اولیه بدهد.","پشتیبانی از ورودی ناقص و نمایش درصد کامل بودن داده حفظ شد.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-04","","","","سناریوهای آماده نباید باعث اشتباه کاربر با فرم اصلی شوند.","نمونه‌های آماده پایین فرم و با برچسب «اختیاری» قرار گرفتند.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-05","","","","خروجی نباید حس تصمیم قطعی پزشکی بدهد؛ باید نقش کمک‌تصمیم مشخص باشد.","هشدار پشتیبان تصمیم در نتیجه، پایین صفحه و صفحه حریم خصوصی حفظ شد.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-06","","","","بهتر است اگر داده کم است، اعتماد خروجی هم کمتر نمایش داده شود.","سطح اطمینان و کامل بودن داده در کارت نتیجه نمایش داده می‌شود.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-07","","","","در موبایل، دکمه ارزیابی باید همیشه در دسترس باشد.","نوار اقدام پایین صفحه برای موبایل حفظ شد.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-08","","","","بعضی اصطلاحات مثل COPD یا شاخص شوک برای کاربر عمومی مبهم است.","عنوان «عوامل مؤثر» به «دلایل این پیشنهاد» و COPD به «بیماری مزمن ریه (COPD)» تغییر کرد.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","پرستار تریاژ ناشناس TN-09","","","","برای استفاده واقعی باید خروجی با پروتکل بیمارستان و نظر متخصص تطبیق داده شود.","محدودیت بالینی، نیاز به اعتبارسنجی و پیگیری مراکز درمانی در Model Card، ثبت ذی‌نفعان و roadmap برجسته شد.","محمدرضا آرمان‌پور","Confirmed qualitative feedback"
"2026-07-12","بیمارستان پیامبران تهران / سلامت فردای تهران","","","","ایمیل و درخواست ملاقات ارسال شد؛ پاسخ اولیه این بود که درخواست بررسی و نتیجه اعلام می‌شود.","به‌عنوان stakeholder outreach ثبت شد؛ تا دریافت موافقت رسمی هیچ ادعای همکاری یا اعتبارسنجی مطرح نمی‌شود.","محمدامین پورمند","Awaiting final response"
